go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.16800 0.24733 0.09183 0.19251 0.08017 202 91 87 30
0.17400 0.26500 0.09500 0.19550 0.05910 202 96 93 32
0.18600 0.27383 0.09817 0.22130 0.09078 202 98 99 35
0.19200 0.28267 0.10450 0.23151 0.06290 202 103 105 38
0.20400 0.30033 0.10767 0.20847 0.09890 202 103 112 41
0.20400 0.30033 0.10767 0.23747 0.10051 202 104 119 44
0.20400 0.30033 0.10767 0.24047 0.10268 202 105 127 48
0.20400 0.30033 0.10767 0.24445 0.13004 202 102 134 51
0.20400 0.30033 0.10767 0.24811 0.10804 202 99 142 55
0.20400 0.30033 0.10767 0.27417 0.13691 202 95 150 59
0.20400 0.30033 0.10767 0.27904 0.13940 202 91 157 62
0.20400 0.30033 0.10767 0.28085 0.11238 202 87 166 67
0.20400 0.30033 0.10767 0.28172 0.14094 202 83 173 70
0.20400 0.30033 0.10767 0.28415 0.14057 202 75 181 75
0.20400 0.30033 0.10767 0.25987 0.11213 202 74 189 78
0.20400 0.30033 0.10767 0.28718 0.13912 202 70 197 83
0.20400 0.30033 0.10767 0.28761 0.13617 202 63 206 86
0.20400 0.30033 0.10767 0.28914 0.10960 202 63 214 89
0.20400 0.30033 0.10767 0.29050 0.13291 202 60 223 93
0.20400 0.30033 0.10767 0.29215 0.13010 202 57 231 96
0.20400 0.30033 0.10767 0.29226 0.10516 202 58 239 100
0.20400 0.30033 0.10767 0.29156 0.12713 202 56 248 103
0.20400 0.30033 0.10767 0.27087 0.10350 202 56 256 106
0.20400 0.30033 0.10767 0.29413 0.10288 202 55 266 110
0.20400 0.30033 0.10767 0.29444 0.10188 202 55 274 113
0.20400 0.30033 0.10767 0.29454 0.10140 202 57 282 116
0.20400 0.30033 0.10767 0.29467 0.09955 202 58 291 119
0.20400 0.30033 0.10767 0.29593 0.09921 202 59 301 122
0.20400 0.30033 0.10767 0.29621 0.09894 199 58 309 125
0.20400 0.30033 0.10767 0.29649 0.09869 200 60 318 128
0.20400 0.30033 0.10767 0.29664 0.09948 201 62 326 131
0.20400 0.30033 0.10767 0.27414 0.09852 202 63 335 134
0.20400 0.30033 0.10767 0.29638 0.09880 202 65 345 137
0.20400 0.30033 0.10767 0.32093 0.09911 199 66 353 140
0.20400 0.30033 0.10767 0.29759 0.09938 199 65 363 143
0.20400 0.30033 0.10767 0.29791 0.10019 197 66 371 146
0.20400 0.30033 0.10767 0.29684 0.09991 198 67 380 149
0.20400 0.30033 0.10767 0.29621 0.10056 199 69 388 152
0.20400 0.30033 0.10767 0.27393 0.10059 202 70 397 155
0.20400 0.30033 0.10767 0.29693 0.12297 202 69 407 159
0.20400 0.30033 0.10767 0.32153 0.10100 199 69 415 162
0.20400 0.30033 0.10767 0.29777 0.10124 200 71 425 165
0.20400 0.30033 0.10767 0.29688 0.12401 197 69 434 168
0.20400 0.30033 0.10767 0.29665 0.10263 198 70 442 172
0.20400 0.30033 0.10767 0.29634 0.12563 199 68 451 175
0.20400 0.30033 0.10767 0.27455 0.10350 202 68 459 178
0.20400 0.30033 0.10767 0.29717 0.10386 202 67 468 182
0.20400 0.30033 0.10767 0.27507 0.10340 202 67 476 185
0.20400 0.30033 0.10767 0.29667 0.10363 202 68 486 188
0.20400 0.30033 0.10767 0.32208 0.12497 199 66 495 191
0.20400 0.30033 0.10767 0.29866 0.10303 199 67 504 195
0.20400 0.30033 0.10767 0.29885 0.10241 202 68 512 198
0.20400 0.30033 0.10767 0.29604 0.12493 202 66 521 201
0.20400 0.30033 0.10767 0.29651 0.10264 199 67 530 204
0.20400 0.30033 0.10767 0.29700 0.12510 199 65 539 207
0.20400 0.30033 0.10767 0.29726 0.10255 197 66 549 211
0.20400 0.30033 0.10767 0.29845 0.10320 197 67 557 214
0.20400 0.30033 0.10767 0.29851 0.12485 198 65 567 218
0.20400 0.30033 0.10767 0.32149 0.10333 196 66 576 221
0.20400 0.30033 0.10767 0.29631 0.12484 196 64 584 224
0.20400 0.30033 0.10767 0.29583 0.10296 200 65 593 227
0.20400 0.30033 0.10767 0.29590 0.10243 200 65 601 230
0.20400 0.30033 0.10767 0.29670 0.12409 198 64 611 234
0.20400 0.30033 0.10767 0.29666 0.10219 199 65 619 237
0.20400 0.30033 0.10767 0.29645 0.10186 200 63 628 240
0.20400 0.30033 0.10767 0.29622 0.10218 202 64 636 243
0.20400 0.30033 0.10767 0.29620 0.10160 202 65 645 247
0.20400 0.30033 0.10767 0.29731 0.10166 199 66 655 250
0.20400 0.30033 0.10767 0.29880 0.12263 199 64 664 253
0.20400 0.30033 0.10767 0.29791 0.10086 202 66 672 256
0.20400 0.30033 0.10767 0.29692 0.10098 202 67 681 259
0.20400 0.30033 0.10767 0.29688 0.10118 199 66 690 262
0.20400 0.30033 0.10767 0.32011 0.10178 199 66 699 265
0.20400 0.30033 0.10767 0.29707 0.10159 200 67 707 269
0.20400 0.30033 0.10767 0.29791 0.12325 202 66 716 272
0.20400 0.30033 0.10767 0.29740 0.10182 202 67 725 275
0.20400 0.30033 0.10767 0.29663 0.10249 202 68 733 278
0.20400 0.30033 0.10767 0.29757 0.12405 202 66 742 281
0.20400 0.30033 0.10767 0.29776 0.10301 202 67 751 285
0.20400 0.30033 0.10767 0.29784 0.10270 202 68 759 288
0.20400 0.30033 0.10767 0.29742 0.12568 202 66 768 292
0.20400 0.30033 0.10767 0.27495 0.10283 202 67 777 295
